created_at,location,Capres,Tweet,Translation,Compound_Score,Sentiments
Thu Feb 08 23:56:57 +0000 2024,"DKI Jakarta, Indonesia",prabowo,prabowo gibran persen aman putar margin errornya persen putar tkn gencar kampanye swing voter sisa suara paslon,"Prabowo Gibran's percent safe is the margin of error, the percent of rotation is not intensively campaigning for swing voters, the remaining candidate pairs' votes",0.0516,Positif
Thu Feb 08 23:56:55 +0000 2024,,prabowo,hobby bantu rakyat indonesia pake dana pribadi prabowo gmn tu pilih beliau mengutamakn bantu rakyat susah dll,"Prabowo's hobby is helping the Indonesian people using personal funds, how did he choose to prioritize helping people in need, etc",0.5267,Positif
Thu Feb 08 23:56:52 +0000 2024,Pekanbaru,prabowo,postingan hapus slide foto tribun stadion kosong postingannya ditake down ganti gambar dipost ulang blunder,"post deletes photo slide of empty stadium stands, post is taken down, replaces image, reposted, blunder",-0.2023,Negatif
Thu Feb 08 23:56:49 +0000 2024,Indonesia,prabowo,ampun kelas buzzer,sorry buzzer class,-0.0772,Negatif
Thu Feb 08 23:56:48 +0000 2024,"Pesisir Barat, Andalas",prabowo,syahadat umur kadaluarsa gitu lantas ayahanda baca sholat tuduh beliau sholat,"The creed expired, so my father read the prayer, accusing him of praying",0.2023,Positif
Thu Feb 08 23:56:43 +0000 2024,"Ibukota Nusantara , kalimantan",prabowo,bohong rb,lie rb,0.0,Netral
Thu Feb 08 23:56:41 +0000 2024,,prabowo,hoax tribun aja kosong,"hoax, the stands are empty",-0.4404,Negatif
Thu Feb 08 23:56:37 +0000 2024,Kudus,prabowo,wacana bangga banggain taun ngapain aja,the speech is proud to be proud of the year,0.7351,Positif
Thu Feb 08 23:56:36 +0000 2024,Middle of nowhere,prabowo,prabowo jokowinapa kabar dateng lol,prabowo jokowi how are you coming lol,0.4215,Positif
Thu Feb 08 23:56:33 +0000 2024,,prabowo,prabowo kuat desa anggap saran all out konten tegas anies sidak psbb kantor kantor jakarta biar warga desa liat tegas anies lindung nyawa warga,"Prabowo is strong, village accepts all out suggestions, Anies' firm content inspects PSBB Jakarta office so that village residents can see that Anies is firm in protecting residents' lives",0.6808,Positif
Thu Feb 08 23:56:33 +0000 2024,"Kota Surabaya, Jawa Timur",prabowo,dukung anies mnrt pakar intelejen connie bakrie sepakat prabowo kuasa tahun astagfirullah,"Supports Anies, according to intelligence expert Connie Bakrie, he agrees that Prabowo is the cause of the year, God forbid",0.7351,Positif
Thu Feb 08 23:56:24 +0000 2024,,prabowo,poltracking prabowo unggul jatim dukung ganjar mahfud banyakk,East Java's superior Prabowo poll tracker supports Mahfud's reward a lot,0.8658,Positif
Thu Feb 08 23:56:20 +0000 2024,,prabowo,ahok serang prabowo,Ahok attacks Prabowo,-0.4404,Negatif
Thu Feb 08 23:56:18 +0000 2024,,prabowo,dar masuk gimmick gemoy rusak citra prabowo sosok militer wibawa,The introduction of the gemoy gimmick damaged Prabowo's image as an authoritative military figure,-0.4404,Negatif
Thu Feb 08 23:56:18 +0000 2024,,prabowo,rb,rb,0.0,Netral
Thu Feb 08 23:56:14 +0000 2024,jawa barat,prabowo,emang nyerang dukung serang prabowo ny dukung loehoet aja jadi ribu alas kosong tua tambah praktek paksa calon asam,"I'm really attacking, support Serang Prabowo, just support Loehoet, it's going to be thousands of old empty bases, plus the practice of forcing acid candidates",0.1494,Positif
Thu Feb 08 23:56:12 +0000 2024,,prabowo,kelas dpp partai mutu prabowo gibran lantik jokowi gibran kuasa prabowo presiden paham,"DPP class Prabowo Gibran's quality party inaugurates Jokowi Gibran, Prabowo's power, the president understands",0.4019,Positif
Thu Feb 08 23:56:09 +0000 2024,Jakarta Raya,prabowo,sby tni menang sumbar prabowo menang sumbar,SBY TNI wins West Sumatra Prabowo wins West Sumatra,0.8126,Positif
Thu Feb 08 23:56:03 +0000 2024,,prabowo,ungkit kpu mulu pdhal udh salah mk gibran maju krna pdi niat pinang wakil ganjar gibran nolak sndiri gak sangka beliau nerima prabowo capresnya,"The KPU always raised the issue even though it was wrong for Gibran to run because of the intention of Pinang, Deputy Gangar Gibran to refuse, he didn't expect him to accept Prabowo as the presidential candidate.",-0.4019,Negatif
Thu Feb 08 23:55:57 +0000 2024,,prabowo,ketua parpol calon presiden uzur prabowo nyindir prabowo,"Chairman of the political party, presidential candidate, Prabowo, insulted Prabowo",-0.1531,Negatif
Thu Feb 08 23:55:44 +0000 2024,PAKIS weTAN,prabowo,ribu bandung itung aja ndiri pcaya,"thousand Bandung, just count it, I'm sure",0.3182,Positif
Thu Feb 08 23:55:42 +0000 2024,,prabowo,negara marwah keluarga dinasti amburadul sembraut kondisi atur sesuai dinasti penting,"The state of the dynasty's family spirit is in disarray, with conditions regulated according to an important dynasty",0.3612,Positif
Thu Feb 08 23:55:38 +0000 2024,,prabowo,bohong ngomongnya bohong mulu tular jokowi,Jokowi's lies are always contagious,-0.6369,Negatif
Thu Feb 08 23:55:36 +0000 2024,,prabowo,alami ilusi optik akut,experience acute optical illusions,0.0,Netral
Thu Feb 08 23:55:36 +0000 2024,"Cirebon Barat, Indonesia",prabowo,gus mus wali gak gara dukung prabowo,Gus Mus Wali didn't support Prabowo,-0.3089,Negatif
Thu Feb 08 23:55:34 +0000 2024,,prabowo,akwowkwokwok,awkowkwokkwok,0.0,Netral
Thu Feb 08 23:55:34 +0000 2024,Pontianak,prabowo,elu ngajarin benci prabowo cape,You taught me to hate Prabowo,-0.5719,Negatif
Thu Feb 08 23:55:33 +0000 2024,,prabowo,prabowo barat berrti blkang prabowo ad musuh barat china sma aj bo ong,western prabowo means blkang prabowo ad enemy of the west china aj bo ong high school,-0.5423,Negatif
Thu Feb 08 23:55:32 +0000 2024,,prabowo,banding mn layak paksa putar,This appeal is worth forcing to turn,0.2263,Positif
Thu Feb 08 23:55:32 +0000 2024,,prabowo,prabowo uzur tua sakit lemah fisik emosional,"Prabowo is old, sick, physically and emotionally weak",-0.7351,Negatif
Thu Feb 08 23:55:27 +0000 2024,Indonesia,prabowo,sorot peran juta umkm ali mahsun harap prabowo gibran makmur rakyat umkm alimahsun prabowogibran rmol,highlight the role of million umkm ali mahsun hopes that prabowo gibran will prosper the people of umkm alimahsun prabowogibran rmol,0.6369,Positif
Thu Feb 08 23:55:19 +0000 2024,"Cordova, Spain",prabowo,hola mr praroro don tumbuang barasok tonk bodat kapuyuak busuak jo langau hijau tonk iki piye tho,"Hello, Mr. Praroro, don't you think you're a white man, but what's wrong with this green langau?",-0.631,Negatif
Thu Feb 08 23:55:18 +0000 2024,Palestine will be freeðµð¸,prabowo,bener twit cak imin kemarin,It's true that Cak Imin's tweet yesterday,0.4215,Positif
Thu Feb 08 23:55:11 +0000 2024,"Babelan, Indonesia",prabowo,ted kaya,ted kaya,0.0,Netral
Thu Feb 08 23:55:11 +0000 2024,Jakarta Capital Region,prabowo,kontra fakta adlh buzzer ip internet acount account amp acount muncul semenjak umum dukung tarik tweetnya bnyk nyinyirin,The counter fact is that buzzer IP internet account amp account has appeared since the general support for withdrawing the tweets is a lot of sarcasm,0.2023,Positif
Thu Feb 08 23:55:07 +0000 2024,,prabowo,pesta rakyat udah duluan gbk emng stadion lgi gbk,"People's parties have gone before, but stadiums have gone",0.2144,Positif
Thu Feb 08 23:54:58 +0000 2024,,prabowo,nelayan caleg,legislative candidate fishermen,0.0,Netral
Thu Feb 08 23:54:58 +0000 2024,,prabowo,bicara akhlak,talk about morals,0.0,Netral
Thu Feb 08 23:54:54 +0000 2024,nothingville,prabowo,bukti ni bukti bnyk saksi anggota tim mawar prabowo perintah culik salah anggota bilang langgar ham berat wowo culi aktivis doank jahat perang santa cruz papua baca gih,"This evidence is evidence of many witnesses, members of the Prabowo Rose Team, ordered to kidnap, one of the members said it was a serious violation of human rights, wow, kidnap activists are just evil, the Santa Cruz Papua war, read it.",-0.8402,Negatif
Thu Feb 08 23:54:53 +0000 2024,,prabowo,ketua pssinya ganti prabowo erick,The chairman of the PSSI was replaced by Prabowo Erick,0.0,Netral
Thu Feb 08 23:54:50 +0000 2024,PAKIS weTAN,prabowo,ribu plus dedemit amp kutu kursi diitung smua kadang tri gadai logika akal serendah,"thousand plus fortune & chair fleas count it all, sometimes tri pawn logic makes sense as low as possible",-0.2732,Negatif
Thu Feb 08 23:54:49 +0000 2024,Bandung,prabowo,gambar akang hoodie hitam kemeja maroon kaos coklat diskus hasil acara,"picture of black hoodie, maroon shirt, brown t-shirt, discussion of event results",0.0,Netral
Thu Feb 08 23:54:46 +0000 2024,kebumen,prabowo,hubunganya kampanye bawa mukhrim,campaign relations bring mahram,0.0,Netral
Thu Feb 08 23:54:41 +0000 2024,,prabowo,cak gambare ono sing mbok ilangke isin taa,"bro, the picture is the one that you are ashamed of",-0.4767,Negatif
Thu Feb 08 23:54:34 +0000 2024,,prabowo,macet jalan tempat tuju oh ngareplah putar,traffic jam on the way to the destination oh expect to turn around,0.0,Netral
Thu Feb 08 23:54:34 +0000 2024,,prabowo,anjir sadar langgar prabowo bnyak banget thn doang dasar knp calon ad jejak kriminalny ni,"Anjir is aware that he has violated Prabowo so many times this year, why does this candidate have criminal traces?",-0.7783,Negatif
Thu Feb 08 23:54:31 +0000 2024,,prabowo,sadar klg soeharto makmur kroni anak besan hancur islam alim simpang munafik pandai debat qur an amp al qur an penting pribadi pr pimpin sesat,"aware that Suharto is prosperous, crony children of in-laws are destroyed, Islam is alim, a hypocrite, is good at debating the Qur'an, the Qur'an is important, personally, leads astray",0.5574,Positif
Thu Feb 08 23:54:28 +0000 2024,,prabowo,poster baliho omon omon deket rumah kasihan php,Omon Omon billboard poster near poor house PHP,-0.4767,Negatif
Thu Feb 08 23:54:27 +0000 2024,,prabowo,memed ni mabuk logistik bg percaya postingan nyerang prabowo aja gak bantah postingan,This memed is too logistical to believe the post attacking Prabowo and not refute the post,-0.4588,Negatif
Thu Feb 08 23:54:22 +0000 2024,,prabowo,murah banget,very cheap,0.0,Netral
Thu Feb 08 23:54:17 +0000 2024,"Phaya Thai, Bangkok",prabowo,prabowo coba banding anies food estate tanem singkong tumbuh jangung culi aktivis pecat tni,"Prabowo tries to appeal to Anies Food Estate, planting cassava, growing corn, kidnapping activists to fire the TNI",-0.1779,Negatif
Thu Feb 08 23:54:12 +0000 2024,jakarta,prabowo,mon maap skrg pindah haluan pilih partai konsisten bela rakyat misiii,"Mon, sorry, now I'm changing direction and choosing a party that consistently defends the people of Mission",0.34,Positif
Thu Feb 08 23:54:10 +0000 2024,"Kota Bandung, Jawa Barat",prabowo,maksud ribu warga gede bade bojong soang bener tum,"What thousands of residents of Gedebage Bojongsoang mean is correct, tum",0.0,Netral
Thu Feb 08 23:54:04 +0000 2024,Indonesia,prabowo,rb juta,thousand million,0.0,Netral
Thu Feb 08 23:54:04 +0000 2024,"Bandar Lampung, Lampung",prabowo,prabowo menang putar penuh,Prabowo wins full round,0.5719,Positif
Thu Feb 08 23:54:03 +0000 2024,,prabowo,prabowo janji bangun fakultas dokter cak imin overload beban,Prabowo promises to build an overloaded medical faculty,0.3818,Positif
Thu Feb 08 23:54:03 +0000 2024,,prabowo,ngeprank rakyat,prank people,0.0,Netral
Thu Feb 08 23:54:02 +0000 2024,,prabowo,buka hati bikin aksi prabowo tim cybernya makruf amin bikin kriminalisasi blm jokowi provokasi panggung massa pdip buzzer jahat anies bgt peran ajak gubernur sandi,"open your heart to make Prabowo's action, his cyber team is makruf, amen, criminalizing BLM Jokowi, provoking the Pdip mass stage, evil buzzer, Anies, what a role to invite the governor, Sandi",-0.1027,Negatif
Thu Feb 08 23:54:00 +0000 2024,~ Fiore ~,prabowo,prabowo emang traktat politik harus prabowo capres,Prabowo is indeed a political treaty that Prabowo must be the presidential candidate,0.0,Netral
Thu Feb 08 23:53:59 +0000 2024,"Kota Medan, Sumatera Utara",prabowo,kau anak budiman den wadas proyek wadas milik perintah pusat pempus gak pasang badan dukung jokowi presiden periode periode,"You are a virtuous child and wadas, the wadas project belongs to the central government's command, don't install an agency to support Jokowi as president for the period",0.7269,Positif
Thu Feb 08 23:53:52 +0000 2024,indonesia,prabowo,kemarin kagum erick,yesterday amazed Erick,0.4939,Positif
Thu Feb 08 23:53:41 +0000 2024,Bogor,prabowo,hidup prabowo presiden,Long live President Prabowo,0.0,Netral
Thu Feb 08 23:53:39 +0000 2024,she,prabowo,ainya erick thohir drpd prabowo gibran,Ainya Erick Thohir rather than Prabowo Gibran,0.0,Netral
Thu Feb 08 23:53:37 +0000 2024,,prabowo,mending kau urusin bola aja sono bola aja kelar kelar kau,It's better if you just take care of the ball so the ball is over for you,0.7269,Positif
Thu Feb 08 23:53:35 +0000 2024,,prabowo,gbk cmn bayar rb murah bgt min pny prabowo abis ngbagiin pimpin udh itungn rakyat,gbk cmn pay rb really cheap min pny prabowo after sharing the leadership the people have counted,0.34,Positif
Thu Feb 08 23:53:28 +0000 2024,,prabowo,lha ngatur,manage it,0.0,Netral
Thu Feb 08 23:53:18 +0000 2024,,prabowo,anies menang kalah ganjar juang hak rakyat prabowo pro oligarki,Anies wins and loses as a reward for Prabowo's fight for people's rights and pro-oligarchy,0.5423,Positif
Thu Feb 08 23:53:06 +0000 2024,Jakarta,prabowo,keren visi misi pilih prabowo skrg pindah hati amin aja mantap,"cool, vision and mission to elect Prabowo, now my heart has changed, amen, that's great",0.9118,Positif
Thu Feb 08 23:53:03 +0000 2024,,prabowo,ted udh bansos blm,Ted is there any social assistance yet?,0.0,Netral
Thu Feb 08 23:52:58 +0000 2024,,prabowo,calon presiden ri prabowo subianto sindir salah calon anggota legislatif caleg samar nelayan bicara butuh program makan siang gratis,"RI presidential candidate Prabowo Subianto insinuates that one of the legislative candidates is vague, fishermen talk about needing a free lunch program",0.4404,Positif
Thu Feb 08 23:52:45 +0000 2024,,prabowo,teriak prabowo,Prabowo shouted,0.0,Netral
Thu Feb 08 23:52:44 +0000 2024,,prabowo,prabowo presiden anda istana bantu,"Prabowo, your president, the palace, help",0.4019,Positif
Thu Feb 08 23:52:41 +0000 2024,,prabowo,paslon gak kasih hibur rame uat dukung sampe bela bain nonton hibur bikin konten sumpah malu tau cermin prabowo gibran gak ikk hibur dukung,"The candidate pair doesn't provide entertainment, many people want to support it, even defend it, watch entertainment, create content, swear, I'm embarrassed, you know, Prabowo Gibran's mirror, I don't want to entertain, support",0.5242,Positif
Thu Feb 08 23:52:37 +0000 2024,Indonesia,prabowo,ni media corong rendah profesi nelayan ni nelayan nggak nyaleg emang nyaleg keluarga jokowi aburizal bakri prabowo sby doang parah corong,"This is a media with a low mouth, this fishing profession is a fisherman who doesn't act, he really cheats on Jokowi's family, Aburizal Bakri Prabowo SBY, it's just a bad mouth.",-0.8268,Negatif
Thu Feb 08 23:52:30 +0000 2024,,prabowo,wkwkwkwkkw buzzer,wkwkwkwk buzzer,0.0,Netral
Thu Feb 08 23:52:30 +0000 2024,,prabowo,ribu kapasitas stadion bandung laut api foto ribu,"thousand capacity of Bandung Laut Api Stadium, thousand photos",0.0,Netral
Thu Feb 08 23:52:29 +0000 2024,"Jakarta Capital Region, Indone",prabowo,yahahaha kemaren anies olok jibril imam mahdi anies ngomong skarang prabowo omon syahadat ngolok prabowo,yeah,0.296,Positif
Thu Feb 08 23:52:27 +0000 2024,,prabowo,deket rumah kemarin timses prabowo gibran bikin acara pentas jathilan full henti pasar malam gratis aji gus miftah konser denny caknan heran duit banget bikin acara gede,near the house yesterday Timses Prabowo Gibran held a Jathilan stage event full stop free night market Aji Gus Miftah concert Denny Caknan was surprised to have so much money to make a big event,0.4588,Positif
Thu Feb 08 23:52:24 +0000 2024,Indonesia,prabowo,kai prabowo gibran hadir badan terima negara ri kai prabowogibran bpn badanpenerimaannegara rmol,kai prabowo gibran present ri state revenue agency kai prabowogibran bpn state revenue agency rmol,0.0,Netral
Fri Feb 09 23:58:06 +0000 2024,,prabowo,kaum aja tetep dungu prabowo bilang percaya ama lembaga surve ente aja percaya ama surve,Even people are still stupid. Prabowo said he believed in survey institutions. You just believe in surveys,-0.5267,Negatif
Fri Feb 09 23:58:03 +0000 2024,Samarinda,prabowo,bayar gak,pay or not,-0.1027,Negatif
Fri Feb 09 23:58:02 +0000 2024,Kupang NTT,prabowo,antek asing gerak bos turun kaki tangan lumpuh kuat prabowo jokowi,Foreign henchmen move the boss to step down Prabowo Jokowi's powerful paralyzed accomplices,0.4215,Positif
Fri Feb 09 23:58:00 +0000 2024,,prabowo,keren solid rakyat barengmas bwgbran pimpin nusantara arah sejarah gibran kamukitabiruingbk sabtubiru pestarakyat,cool solid people together with mas bwgbran lead the archipelago direction of history gibran kamukitabiruingbk saturday partyrakyat,0.4404,Positif
Fri Feb 09 23:57:56 +0000 2024,Yogyakarta,prabowo,akun lembaga negara pakai personifikasi atas sdg pilpres program beasiswa akar amanat uud prestasi jajar elit pimpin apbn,state agency accounts use personification for presidential election,0.0,Netral
Fri Feb 09 23:57:53 +0000 2024,,prabowo,nggak shalat,not praying,-0.2755,Negatif
Fri Feb 09 23:57:46 +0000 2024,,prabowo,ni medsn dukung prabowo gibran baik pokok,This media supports Prabowo Gibran very well,0.5984,Positif
Fri Feb 09 23:57:44 +0000 2024,,prabowo,capresnya gag rame anis prabowo ajapak ganjar bagus orang pintar sayang gag taring tahun politik,"The presidential candidate is not very popular, Anis Prabowo, ajapak, good reward, smart people, unfortunately, there is no political year",0.4856,Positif
Fri Feb 09 23:57:40 +0000 2024,,prabowo,anjir kemarin pikirin tau password dukung ganjar kayak coba udah pairsnya anies amp prabowo,Anjir yesterday thought about knowing the password to support Gangar like trying the Anies & Prabowo pairs,0.6369,Positif
Fri Feb 09 23:57:34 +0000 2024,,prabowo,percaya liat aja live tiktok gbk sepi video comot acara prabowo aja sore,"Believe it or not, just look at the live TikTok gbk, it's quiet, just pick up videos from Prabowo's event in the afternoon",0.0,Netral
Fri Feb 09 23:57:33 +0000 2024,,prabowo,prabowo suka dunia internasional cocok pilih,"Prabowo likes the international world, it's a good choice",0.6908,Positif
Fri Feb 09 23:57:29 +0000 2024,,prabowo,seru banget seru kampanye akbar prabowo gibran deli serdang semangat antusiasme sungguh bangkit semangat politik lokal,"Prabowo Gibran Deli Serdang's grand campaign was really exciting, the spirit of enthusiasm really raised the spirit of local politics",0.9066,Positif
Fri Feb 09 23:57:26 +0000 2024,,prabowo,tri kualitas rumput,tri grass quality,0.0,Netral
Fri Feb 09 23:57:18 +0000 2024,,prabowo,keren ngiri rombong gbk ok selamat jalan moga selamat tuju putar,cool ngiri rombong gbk okay good luck on your way to the turn,0.8442,Positif
Fri Feb 09 23:57:11 +0000 2024,,prabowo,jam militansi,hour of militancy,0.0,Netral
Fri Feb 09 23:57:02 +0000 2024,,prabowo,upload tiktok hahaha,upload tiktok hahaha,0.5574,Positif
Fri Feb 09 23:57:00 +0000 2024,,prabowo,percaya banget barengmas bwgbran mumpuni bangun ekonomi adil harap baik negara gibran kamukitabiruingbk sabtubiru pestarakyat,really believe together with mas bwgbran capable of building a just economy hope for good country gibran kamukitabiruingbk saturday partyrakyat,0.8126,Positif
Fri Feb 09 23:56:57 +0000 2024,,prabowo,hoo gitu trus upaya rebut hati umat muslim palestina,"hoo, that's how it is trying to win the hearts of Palestinian Muslims",0.8442,Positif
Fri Feb 09 23:56:53 +0000 2024,"Magetan, Indonesia",prabowo,moga dukung anies prabowo kumpul kumpul zona damai damai gak provokasi,Please support Anies Prabowo to gather in a peaceful peaceful zone without provocation,0.886,Positif
Fri Feb 09 23:56:49 +0000 2024,,prabowo,poin budiman nolak mentah prabowo skrg ad blkg loh knp bknnya aktivis rata perintah ex aktivis tpi jabat mreka rela khilngan idealisme,"Budiman's point of rejecting Prabowo outright is now in the dark, why aren't activists generally ordered by ex activists but in office they are willing to lose their idealism",-0.25,Negatif
Fri Feb 09 23:56:46 +0000 2024,,prabowo,agam alam prabowo sektor wawas kaya kelola aspek bangun indonesia,"Prabowo's natural religion, rich insight sector, manages aspects of Indonesia's development",0.7269,Positif
Fri Feb 09 23:56:29 +0000 2024,,prabowo,inti dukung stres jamaah elektabilitas prabowo gibran,The core supports the stress of Prabowo Gibran's electability congregation,-0.0772,Negatif
Fri Feb 09 23:56:26 +0000 2024,Jakarta Capital Region,prabowo,tkn fanta gelar panggung budaya indonesia maju wujud perhati prabowo gibran literasi,TKN Fanta holds the stage for advanced Indonesian culture as a manifestation of Prabowo Gibran's attention to literacy,0.25,Positif
Fri Feb 09 23:56:19 +0000 2024,jakarta barat,prabowo,dukung goblok tunjuk fakta klo hoax,"support stupid, show the facts if it's a hoax",-0.4215,Negatif
Fri Feb 09 23:56:13 +0000 2024,,prabowo,beda etika hukum,different legal ethics,0.128,Positif
Fri Feb 09 23:56:12 +0000 2024,"Jakarta Capital Region, Indone",prabowo,bu mega amp prabowo baek aja sempet janji batu tulis,"Mrs. Mega & Prabowo are fine, I just promised a slate",0.5106,Positif
Fri Feb 09 23:56:11 +0000 2024,,prabowo,prabowo shalat pura sj gerak gak baca wajib baca tmasuk syahadat shalat tuhan sj bohong taat pura janji rakyat negara pura palsu nafsu libido kuasa,"Prabowo prays pretending to move, doesn't read, must read including the creed, prays God, lies, obeys the promises of the people of the country, pretends to be false, lust, libido, power",0.6908,Positif
Fri Feb 09 23:56:07 +0000 2024,"Pati, Indonesia",prabowo,klo war,was clear,0.3818,Positif
Fri Feb 09 23:56:00 +0000 2024,,prabowo,cerdas pilih barengmas bwgbran dasar bukti kerja strategi atas tantang dunia gibran kamukitabiruingbk sabtubiru pestarakyat,"Choose smartly together, Mas Gibran, basic proof of work, top strategies about Gibran's world, Kamukitabiruingbk, SATUBIRUI, Partairakyat",0.5106,Positif
Fri Feb 09 23:55:58 +0000 2024,,prabowo,tokoh alam bidang militer prabowo bawa aspek aman tahan tingkat,Prabowo's military figure brings the level of safety aspect,0.4215,Positif
Fri Feb 09 23:55:42 +0000 2024,Indonesia,prabowo,hubung bupati sidoarjo deklarasi dukung sesat publik jokowi prabowo libat korupsi,The Sidoarjo Regent's declaration of public support for Jokowi Prabowo's involvement in corruption,0.4019,Positif
Fri Feb 09 23:55:40 +0000 2024,GMT +,prabowo,gak ngaruh all in prabowo,It doesn't affect Prabowo's all in,0.0,Netral
Fri Feb 09 23:55:39 +0000 2024,"DKI Jakarta, Indonesia",prabowo,henti hilir jual barang mentah,stop downstream selling raw goods,-0.296,Negatif
Fri Feb 09 23:55:36 +0000 2024,,prabowo,yodah silah aja pilih sesuai ingin,"Come on, just choose according to your wishes",0.1531,Positif
Fri Feb 09 23:55:35 +0000 2024,Earth ð,prabowo,kaget berita rekam jejak wowo hapus anak buah kominfo,shocked by the news of wowo's track record of removing Kominfo's subordinates,-0.3182,Negatif
Fri Feb 09 23:54:43 +0000 2024,"Jakarta Selatan, DKI Jakarta",prabowo,ahy gandrung tiktok kampanye demokrat amp prabowo gibran bikin masyarakat happy program pro rakyat akal amp program sehat didik industri indonesia maju mantap,"Ahy is crazy about TikTok, Democratic campaign, Prabowo Gibran makes people happy, Pro People Program, Reasonable Program, Healthy Education Program, Indonesian Industry is Progressing Steadily",0.6124,Positif
Fri Feb 09 23:54:40 +0000 2024,Qatar,prabowo,mu suara minimal pilih prabowo,You have a minimum of votes to vote for Prabowo,0.0,Netral
Fri Feb 09 23:54:39 +0000 2024,,prabowo,subuh sek lek,dawn sec lek,0.0,Netral
Fri Feb 09 23:54:39 +0000 2024,"legok,tangerang",prabowo,mayority koalisi prabowo,Prabowo's majority coalition,0.0,Netral
Fri Feb 09 23:54:37 +0000 2024,"Palangka Raya, Kalteng",prabowo,mantan ahoker dukung prabowo turun aksi tolak mulut kotor ahok tugu proklamasi,Former Ahoker supports Prabowo in taking action against Ahok's dirty mouth at the Proclamation Monument,-0.1027,Negatif
Fri Feb 09 23:54:32 +0000 2024,"Nangro Aceh Darussalam, Indone",prabowo,nambah catat hitam,add black notes,0.0,Netral
Fri Feb 09 23:54:25 +0000 2024,,prabowo,ajar main bola ama kadrun rik ajar bola rumput,teach to play ball ama kadrun rik teach grass ball,0.34,Positif
Fri Feb 09 23:54:24 +0000 2024,,prabowo,anies kampanye kan hasil jakarta ganjar kampanye kan hasil jateng prabowo kampanye kan hasil jokowi saking gak bangga,Anies' campaign was the result of Jakarta. Rewarded campaign was the result of Central Java. Prabowo's campaign was the result of Jokowi. I'm so not proud,0.0945,Positif
Fri Feb 09 23:54:20 +0000 2024,,prabowo,prabowo gibran bawa bangsa maju,Prabowo Gibran brought the nation forward,0.0,Netral
Fri Feb 09 23:54:19 +0000 2024,,prabowo,apa prabowo berita no hoaks kucing jilat buta bikin media lupa kupas kucing gemuk gemoyerr,"Prabowo, the news about no hoax, blind licking cats, makes the media forget to peel gemoyer fat cats",0.2896,Positif
Fri Feb 09 23:54:18 +0000 2024,,prabowo,prabowo jateng noh ambil cebokers,Prabowo Central Java noh take cebokers,0.0,Netral
Fri Feb 09 23:54:06 +0000 2024,,prabowo,pimpin prabowo anggap kuat stabil tegas hadap tantang,"Prabowo's leadership is considered strong, stable and firm in facing challenges",0.7003,Positif
Fri Feb 09 23:54:00 +0000 2024,,prabowo,masyarakat cerdas coblos barengmas bwgbran alas tantang global gibran kamukitabiruingbk sabtubiru pestarakyat,intelligent people vote together with mas bwgbran global challenge platform gibran kamukitabiruingbk saturday partyrakyat,0.5106,Positif
Fri Feb 09 23:53:56 +0000 2024,Pintu Surga,prabowo,hahahahaaa prabowo istirahat sbg menhan,hahahahaha Prabowo is taking a break as defense minister,0.128,Positif
Fri Feb 09 23:53:54 +0000 2024,,prabowo,kasihan bohir capres bayar tempo mahal bulan hancurin jokowi hasil puas rakyat bohir marah skr ganti bayar konten asing fitnah prabowo beli pesawat udah telat boss mending nyerah banding bakar duit,"sorry Bohir, presidential candidate, paid expensive tempo, destroyed Jokowi, satisfied results, Bohir people are angry, now they have to pay for foreign content, slander Prabowo, it's too late to buy a plane, boss, it's better to give up the appeal and burn money",-0.3612,Negatif
Fri Feb 09 23:53:40 +0000 2024,Indonesia,prabowo,selamat pagi february peminpin kuat tolong edukasi oposisi kerja mulia harap indah demokrasi balancer fungsi oposisi group tukang fitnah,"Good morning, February, strong leaders, please educate the opposition, noble work, hope democracy is beautiful, balance the function of the opposition group, slanderers",0.9538,Positif
Fri Feb 09 23:53:37 +0000 2024,Äardaci - Bugojno - Bosnia ,prabowo,yuk pikir cerdas nyapres wowo napa loe bangga prestasi jokowi tunjukin prestasi wowo culik nangani food estate mangkrak korupsi dana alutsista itu prestasi prabowo sbb gak capres,"Come on, think smart about running for president. Wow, why are you proud of Jokowi's achievements? Show off Jokowi's achievements. Wow, kidnapping, handling food estate, stalling corruption, defense equipment funds, that's Prabowo's achievement because he's not running for president.",0.9201,Positif
Fri Feb 09 23:53:33 +0000 2024,,prabowo,asing aja mayoritas rakyat indonesia gak pilih prabowo ape loe,"It's not surprising that the majority of Indonesian people didn't vote for Prabowo, let alone Prabowo",-0.4242,Negatif
Fri Feb 09 23:53:28 +0000 2024,,prabowo,prabowo dedikasi negara semangat maju indonesia,Prabowo's dedication to Indonesia's spirit of progress,0.5423,Positif
Fri Feb 09 23:53:25 +0000 2024,,prabowo,prabowo gibran menang pimpin negeri,Prabowo Gibran wins to lead the country,0.5719,Positif
Fri Feb 09 23:53:18 +0000 2024,,prabowo,woi bu admin tlng bilangin prabowo pesan bagus tinggal ibadah olah raga jaga sehat,"Wow, ma'am, admin, please tell Prabowo a good message, just practice, exercise, stay healthy",0.8934,Positif
Fri Feb 09 23:53:12 +0000 2024,Jakarta,prabowo,yes prabowo presiden pilih,"yes, Prabowo is the president",0.4019,Positif
Fri Feb 09 23:53:10 +0000 2024,Jakarta,prabowo,mirage buat negara eropa asia,Mirage for European Asian countries,0.0,Netral
